% Model,BasinA.mph,
% Version,COMSOL 6.2.0.339,
% x,y,Velocity magnitude
-99.57714973,-24.55935583,0.001196413
-100,-24.35483871,0
-100,-25,0
-99.35064935,-25,0
-99.51971391,-24.01710069,0.00228835
-100,-23.70967742,0
-98.7012987,-25,0
-99.0153854,-24.42483975,0.006464883
-99.49397163,-23.38539986,0.003337954
-100,-23.06451613,0
-98.34128953,-24.47357223,0.013875093
-98.05194805,-25,0
-99.47829203,-22.74541365,0.003705952
-100,-22.41935484,0
-97.71049643,-24.47168536,0.022525209
-97.4025974,-25,0
-99.47833227,-22.10084312,0.003838602
-100,-21.77419355,0
-97.07254806,-24.47178241,0.031402345
-96.75324675,-25,0
-99.47711068,-21.45457411,0.003932199
-100,-21.12903226,0
-96.42813605,-24.47373856,0.040158943
-96.1038961,-25,0
-99.47599612,-20.80808234,0.004032257
-100,-20.48387097,0
-95.78000546,-24.47420435,0.04887707
-95.45454545,-25,0
-99.4753403,-20.16196428,0.004145854
-100,-19.83870968,0
-95.13038893,-24.474072,0.057436084
-94.80519481,-25,0
-99.47515936,-19.51628218,0.004277208
-100,-19.19354839,0
-99.47513972,-18.87096774,0.004432211
-100,-18.5483871,0
-94.4807611,-24.47396245,0.065751656
-94.15584416,-25,0
-99.47516418,-18.2258437,0.004616122
-100,-17.90322581,0
-93.83126596,-24.47390727,0.073797622
-93.50649351,-25,0
-99.47514696,-17.58065619,0.004834293
-100,-17.25806452,0
-99.47513972,-16.93548387,0.005090992
-100,-16.61290323,0
-93.18185372,-24.47388372,0.081558554
-92.85714286,-25,0
-99.47513972,-16.29032258,0.005392519
-100,-15.96774194,0
-92.53247963,-24.47387466,0.089022369
-92.20779221,-25,0
-99.47513972,-15.64516129,0.005747155
-100,-15.32258065,0
-91.88312077,-24.47387143,0.096179208
-91.55844156,-25,0
-99.47513972,-15,0.006165418
-100,-14.67741935,0
-91.23376742,-24.47387036,0.103021428
-90.90909091,-25,0
-99.47513972,-14.35483871,0.006660971
-100,-14.03225806,0
-90.58441593,-24.47387003,0.109543866
-90.25974026,-25,0
-99.47513972,-13.70967742,0.007251753
-100,-13.38709677,0
-99.47513972,-13.06451613,0.007961649
-100,-12.74193548,0
-99.47513972,-12.41935484,0.008822994
-100,-12.09677419,0
-99.47513972,-11.77419355,0.009880447
-100,-11.4516129,0
-89.93506503,-24.47386992,0.115743994
-89.61038961,-25,0
-99.47513972,-11.12903225,0.011197114
-100,-10.80645161,0
-99.47513974,-10.48387094,0.012864567
-100,-10.16129032,0
-99.47513979,-9.838709599,0.015019836
-100,-9.516129032,0
-89.28571431,-24.4738699,0.121621827
-88.96103896,-25,0
-99.47513987,-9.193548211,0.017875409
-100,-8.870967742,0
-99.47513994,-8.548386841,0.021775089
-100,-8.225806452,0
-88.63636364,-24.47386989,0.127179736
-88.31168831,-25,0
-99.47513972,-7.903225806,0.027300913
-100,-7.580645161,0
-87.98701299,-24.47386989,0.132422224
-87.66233766,-25,0
-99.47520194,-7.258089665,0.035538702
-100,-6.935483871,0
-99.47547956,-6.613054249,0.0496344
-100,-6.290322581,0
-87.33766234,-24.47386988,0.137355671
-87.01298701,-25,0
-99.47573491,-5.968045408,0.098866169
-100,-5.64516129,0
-99.4768402,-5.324544543,0.481558463
-100,-5,0.825
-86.68831169,-24.47386988,0.14198806
-86.36363636,-25,0
-99.47918471,-4.692445992,1.14646184
-100,-4.375,1.65
-99.48065781,-4.064119738,1.520818874
-100,-3.75,1.65
-99.48110141,-3.438008469,1.579435163
-100,-3.125,1.65
-99.48123083,-2.812644915,1.598692203
-100,-2.5,1.65
-86.03896104,-24.47386988,0.146328716
-85.71428571,-25,0
-99.48125162,-2.187510416,1.608437261
-100,-1.875,1.65
-85.38961039,-24.47386988,0.150388039
-85.06493506,-25,0
-99.48125076,-1.562499967,1.613886212
-100,-1.25,1.65
-99.48125068,-0.937499871,1.616885191
-100,-0.625,1.65
-84.74025974,-24.47386988,0.15417727
-84.41558442,-25,0
-99.48125039,-0.312499515,1.618229015
-100,0,1.65
-84.09090909,-24.47386988,0.15770826
-83.76623377,-25,0
-99.4812493,0.312501773,1.618229055
-100,0.625,1.65
-83.44155844,-24.47386988,0.160993272
-83.11688312,-25,0
-99.48124539,0.93750627,1.61688512
-100,1.25,1.65
-82.79220779,-24.47386988,0.164044799
-82.46753247,-25,0
-99.48123182,1.562521393,1.613885081
-100,1.875,1.65
-82.14285714,-24.47386988,0.16687541
-81.81818182,-25,0
-99.48118672,2.187570322,1.608432009
-100,2.5,1.65
-81.49350649,-24.47386988,0.169497612
-81.16883117,-25,0
-99.48104669,2.812721907,1.598673442
-100,3.125,1.65
-80.84415584,-24.47386988,0.17192374
-80.51948052,-25,0
-99.4806595,3.438166972,1.579364878
-100,3.75,1.65
-99.47979322,4.064386818,1.52048719
-100,4.375,1.65
-80.19480519,-24.47386988,0.174165857
-79.87012987,-25,0
-99.47834374,4.692953131,1.145678756
-100,5,0.825
-99.47655901,5.326338421,0.480034101
-100,5.64516129,0
-79.54545455,-24.47386988,0.176235688
-79.22077922,-25,0
-99.47515646,5.967780602,0.099193745
-100,6.290322581,0
-99.47514722,6.612905033,0.049670168
-100,6.935483871,0
-78.8961039,-24.47386988,0.17814455
-78.57142857,-25,0
-99.47514296,7.258055628,0.035535199
-100,7.580645161,0
-78.24675325,-24.47386988,0.179903316
-77.92207792,-25,0
-99.47514026,7.90322241,0.027301571
-100,8.225806452,0
-99.47513972,8.548387097,0.021775203
-100,8.870967742,0
-99.47513972,9.193548387,0.017874803
