0,9.64E-242,,0.000360324,,,,6.17E+02,
8640,4.77E-109,,0.000360324,,,,473.2083639,
17280,3.07E-72,,0.000360324,,,var,0.8,
25920,7.86E-65,,0.000360324,,,tm,4.2,
34560,-2.37E-49,,0.000360324,,,e,0.642713611,
43200,-3.79E-45,,0.000360324,,,n,66.7242364,
51840,-1.75E-41,,0.000360324,,,b,0.633081225,
60480,-2.13E-38,,0.000360324,,,tn,564606.0606,6.534792368
69120,-6.10E-36,,0.000360324,,,,,
77760,5.34E-26,,0.000360324,,,,,
86400,1.58E-23,,0.000360324,,,,,
95040,2.67E-21,,0.000360324,,,,,
103680,2.91E-19,,0.000360324,,,,,
112320,2.05E-17,,0.000360324,,,,,
120960,9.86E-16,,0.000360324,,,,,
129600,3.81E-14,,0.000360324,,,,,
138240,1.09E-12,,0.000360324,,,,,
146880,2.32E-11,,0.000360324,,,,,
155520,3.87E-10,,0.000360324,,,,,
164160,5.19E-09,,0.000360324,,,,,
172800,5.76E-08,,0.000360324,,,,,
181440,5.37E-07,,0.000360324,,,,,
190080,4.35E-06,,0.000360324,,,,,
198720,3.07E-05,,0.000360324,,,,,
207360,3.35E-04,,0.000360324,,,,,
216000,0.00214004,,0.000360326,,,,,
224640,0.010280127,,0.000360334,,,,,
233280,0.044166639,,0.000360368,,,,,
241920,0.158174125,,0.000360481,,,,,
250560,0.490907507,,0.000360812,,,,,
259200,1.352444563,,0.000361668,,,,,
267840,3.361714334,,0.000363668,,,,,
276480,7.713430801,,0.000368015,,,,,
285120,16.26097801,,0.000376613,,,,,
293760,31.6082698,,0.000392237,,,,,
302400,57.05591232,,0.000418612,,,,,
311040,96.23265032,,0.000460118,,,,,
319680,152.5709151,,0.000520826,,,,,
328320,228.2196821,,0.000601566,,,,,
336960,322.2961942,,0.000694443,,,,,
345600,431.2069344,,0.000780519,,,,,
354240,548.2023666,,0.000834195,,,,,
362880,664.9622281,,0.000838739,,,,,
371520,772.2886354,,0.000798864,,,,,
380160,863.1854553,,0.000736351,,,,,
388800,933.3897843,,0.000674195,,,,,
397440,982.3381341,,0.000625787,,,,,
406080,1013.140429,,0.000593856,,,,,
414720,1027.752119,,0.000578426,,,,,
423360,1031.703586,,0.000574229,,,,,
432000,1029.037183,,0.000577062,,,,,
440640,1022.471971,,0.000584019,,,,,
449280,1016.05527,,0.00059079,,,,,
457920,1010.376585,,0.000596756,,,,,
466560,1006.281576,,0.000601042,,,,,
475200,1004.06313,,0.000603358,,,,,
483840,1003.121122,,0.00060434,,,,,
492480,1003.132942,,0.000604328,,,,,
501120,1003.397745,,0.000604052,,,,,
509760,1003.775731,,0.000603658,,,,,
518400,1004.046212,,0.000603376,,,,,
527040,1004.104483,,0.000603315,,,,,
535680,1004.019939,,0.000603403,,,,,
544320,1003.821162,,0.000603611,,,,,
552960,1003.637008,,0.000603803,,,,,
561600,1003.434798,,0.000604013,,,,,
570240,1003.219562,,0.000604238,,,,,
578880,1003.042436,,0.000604422,,,,,
587520,1002.876035,,0.000604596,,,,,
596160,1002.726733,,0.000604751,,,,,
604800,1002.605767,,0.000604877,,,,,
613440,1002.506196,,0.000604981,,,,,
622080,1002.417296,,0.000605073,,,,,
630720,1002.336195,,0.000605158,,,,,
639360,1002.266842,,0.00060523,,,,,
648000,1002.195759,,0.000605304,,,,,
656640,1002.127756,,0.000605375,,,,,
665280,1002.06308,,0.000605442,,,,,
673920,1001.999288,,0.000605509,,,,,
682560,1001.937655,,0.000605573,,,,,
691200,1001.878567,,0.000605634,,,,,
699840,1001.822434,,0.000605693,,,,,
708480,1001.768965,,0.000605748,,,,,
717120,1001.718359,,0.000605801,,,,,
725760,1001.670617,,0.000605851,,,,,
734400,1001.62568,,0.000605898,,,,,
743040,1001.582743,,0.000605942,,,,,
751680,1001.542184,,0.000605984,,,,,
760320,1001.503768,,0.000606024,,,,,
768960,1001.466827,,0.000606063,,,,,
777600,1001.431737,,0.000606099,,,,,
786240,1001.398057,,0.000606134,,,,,
794880,1001.365522,,0.000606168,,,,,
803520,1001.334365,,0.000606201,,,,,
812160,1001.304587,,0.000606232,,,,,
820800,1001.276189,,0.000606261,,,,,
829440,1001.249112,,0.000606289,,,,,
838080,1001.222864,,0.000606317,,,,,
846720,1001.197813,,0.000606343,,,,,
855360,1001.17396,,0.000606368,,,,,
864000,1001.151303,,0.000606391,,,,,
872640,1001.129844,,0.000606413,,,,,
881280,1001.109019,,0.000606435,,,,,
889920,1001.088866,,0.000606456,,,,,
898560,1001.069629,,0.000606476,,,,,
907200,1001.05131,,0.000606495,,,,,
