0,7.10E-240,,,0.000362371,,,,6.15E+02,
8640,1.77E-83,,,0.000362371,,,,473.3195696,
17280,6.64E-74,,,0.000362371,,,,,
25920,1.64E-52,,,0.000362371,,,,,
34560,1.97E-47,,,0.000362371,,,,4.2,tm
43200,5.60E-43,,,0.000362371,,,,0.8,var
51840,2.84E-39,,,0.000362371,,,602757.5758,6.976360831,tn
60480,2.05E-32,,,0.000362371,,,,0.60203308,e
69120,6.20E-30,,,0.000362371,,,,76.04626631,n
77760,2.17E-27,,,0.000362371,,,,0.594116412,b
86400,4.77E-25,,,0.000362371,,,,,
95040,8.17E-23,,,0.000362371,,,,,
103680,1.09E-20,,,0.000362371,,,,,
112320,7.87E-19,,,0.000362371,,,,,
120960,5.28E-17,,,0.000362371,,,,,
129600,2.19E-15,,,0.000362371,,,,,
138240,7.37E-14,,,0.000362371,,,,,
146880,4.72E-11,,,0.000362371,,,,,
155520,1.16E-09,,,0.000362371,,,,,
164160,2.32E-08,,,0.000362371,,,,,
172800,2.49E-07,,,0.000362371,,,,,
181440,2.63E-06,,,0.000362371,,,,,
190080,1.90E-05,,,0.000362371,,,,,
198720,1.23E-04,,,0.000362371,,,,,
207360,6.59E-04,,,0.000362371,,,,,
216000,0.00302804,,,0.000362374,,,,,
224640,0.012623908,,,0.000362383,,,,,
233280,0.045019949,,,0.000362415,,,,,
241920,0.150669043,,,0.00036252,,,,,
250560,0.44264525,,,0.000362811,,,,,
259200,1.207809785,,,0.000363573,,,,,
267840,2.993315612,,,0.000365353,,,,,
276480,6.843213501,,,0.000369204,,,,,
285120,14.49566215,,,0.000376904,,,,,
293760,28.41368538,,,0.000391062,,,,,
302400,52.06721216,,,0.000415528,,,,,
311040,88.9975306,,,0.000454547,,,,,
319680,143.0963853,,,0.00051275,,,,,
328320,216.718074,,,0.000591564,,,,,
336960,307.9532387,,,0.000682928,,,,,
345600,413.168807,,,0.000769611,,,,,
354240,526.8964934,,,0.000828384,,,,,
362880,641.2340973,,,0.000841567,,,,,
371520,747.2663966,,,0.000810585,,,,,
380160,839.9255189,,,0.000752868,,,,,
388800,914.5428643,,,0.000689901,,,,,
397440,968.7901242,,,0.000637433,,,,,
406080,1003.318455,,,0.000602002,,,,,
414720,1021.851728,,,0.000582524,,,,,
423360,1028.085452,,,0.000575917,,,,,
432000,1026.300484,,,0.000577811,,,,,
440640,1020.748218,,,0.000583691,,,,,
449280,1014.517931,,,0.000590263,,,,,
457920,1009.473257,,,0.000595564,,,,,
466560,1005.961603,,,0.000599241,,,,,
475200,1003.959619,,,0.000601333,,,,,
483840,1002.95958,,,0.000602376,,,,,
492480,1003.037553,,,0.000602295,,,,,
501120,1003.111989,,,0.000602217,,,,,
509760,1003.655886,,,0.00060165,,,,,
518400,1004.080208,,,0.000601207,,,,,
527040,1004.377886,,,0.000600896,,,,,
535680,1004.558551,,,0.000600707,,,,,
544320,1004.538984,,,0.000600728,,,,,
552960,1004.397257,,,0.000600876,,,,,
561600,1004.215784,,,0.000601065,,,,,
570240,1003.959988,,,0.000601332,,,,,
578880,1003.748244,,,0.000601554,,,,,
587520,1003.533914,,,0.000601777,,,,,
596160,1003.351498,,,0.000601968,,,,,
604800,1003.201085,,,0.000602125,,,,,
613440,1003.072871,,,0.000602258,,,,,
622080,1002.963632,,,0.000602372,,,,,
630720,1002.871209,,,0.000602469,,,,,
639360,1002.782591,,,0.000602561,,,,,
648000,1002.703529,,,0.000602644,,,,,
656640,1002.624956,,,0.000602725,,,,,
665280,1002.550453,,,0.000602803,,,,,
673920,1002.47877,,,0.000602878,,,,,
682560,1002.409914,,,0.00060295,,,,,
691200,1002.344098,,,0.000603018,,,,,
699840,1002.281323,,,0.000603084,,,,,
708480,1002.221488,,,0.000603146,,,,,
717120,1002.164364,,,0.000603206,,,,,
725760,1002.11014,,,0.000603262,,,,,
734400,1002.058815,,,0.000603316,,,,,
743040,1002.010177,,,0.000603366,,,,,
751680,1001.96356,,,0.000603415,,,,,
760320,1001.919449,,,0.000603461,,,,,
768960,1001.877845,,,0.000603504,,,,,
777600,1001.838518,,,0.000603545,,,,,
786240,1001.800482,,,0.000603585,,,,,
794880,1001.764424,,,0.000603623,,,,,
803520,1001.730343,,,0.000603658,,,,,
812160,1001.698071,,,0.000603692,,,,,
820800,1001.666561,,,0.000603725,,,,,
829440,1001.636511,,,0.000603756,,,,,
838080,1001.607922,,,0.000603786,,,,,
846720,1001.580718,,,0.000603814,,,,,
855360,1001.55415,,,0.000603842,,,,,
864000,1001.528701,,,0.000603868,,,,,
872640,1001.504371,,,0.000603894,,,,,
881280,1001.481132,,,0.000603918,,,,,
889920,1001.458464,,,0.000603941,,,,,
898560,1001.436692,,,0.000603964,,,,,
907200,1001.415817,,,0.000603986,,,,,
